geo_level,geo_code,area,sex,maritalstatus,total,geo_version
district,203,Urban,Male,never married,118448,2011
district,204,Rural,Male,never married,1394439,2011
district,204,Urban,Male,never married,120769,2011
district,205,Rural,Male,never married,183286,2011
district,205,Urban,Male,never married,8450,2011
district,206,Rural,Male,never married,958099,2011
district,206,Urban,Male,never married,57090,2011
district,207,Rural,Male,never married,1235253,2011
district,207,Urban,Male,never married,48056,2011
district,208,Rural,Male,never married,603360,2011
district,208,Urban,Male,never married,31063,2011
district,209,Rural,Male,never married,790801,2011
district,209,Urban,Male,never married,50491,2011
district,210,Rural,Male,never married,486589,2011
district,210,Urban,Male,never married,48368,2011
district,211,Rural,Male,never married,896153,2011
district,211,Urban,Male,never married,101698,2011
district,212,Rural,Male,never married,861294,2011
district,212,Urban,Male,never married,82059,2011
district,213,Rural,Male,never married,556702,2011
district,213,Urban,Male,never married,26029,2011
district,214,Rural,Male,never married,513341,2011
district,214,Urban,Male,never married,46322,2011
district,215,Rural,Male,never married,1055358,2011
district,215,Urban,Male,never married,114408,2011
district,216,Rural,Male,never married,1261396,2011
district,216,Urban,Male,never married,135759,2011
district,217,Rural,Male,never married,688748,2011
district,217,Urban,Male,never married,48016,2011
district,218,Rural,Male,never married,916236,2011
district,218,Urban,Male,never married,55515,2011
district,219,Rural,Male,never married,1062922,2011
district,219,Urban,Male,never married,106544,2011
district,220,Rural,Male,never married,955373,2011
district,220,Urban,Male,never married,69103,2011
district,221,Rural,Male,never married,1204936,2011
district,221,Urban,Male,never married,43255,2011
district,222,Rural,Male,never married,719818,2011
district,222,Urban,Male,never married,172548,2011
district,223,Rural,Male,never married,486365,2011
district,223,Urban,Male,never married,26547,2011
district,224,Rural,Male,never married,755785,2011
district,224,Urban,Male,never married,186679,2011
district,225,Rural,Male,never married,564803,2011
district,225,Urban,Male,never married,21218,2011
district,226,Rural,Male,never married,301486,2011
district,226,Urban,Male,never married,115228,2011
district,227,Rural,Male,never married,252758,2011
district,227,Urban,Male,never married,42169,2011
district,228,Rural,Male,never married,150400,2011
district,228,Urban,Male,never married,32942,2011
district,229,Rural,Male,never married,681713,2011
district,229,Urban,Male,never married,138444,2011
district,230,Rural,Male,never married,959809,2011
district,230,Urban,Male,never married,730138,2011
district,231,Rural,Male,never married,676205,2011
district,231,Urban,Male,never married,117680,2011
district,232,Rural,Male,never married,440428,2011
district,232,Urban,Male,never married,49356,2011
district,233,Rural,Male,never married,441210,2011
district,233,Urban,Male,never married,19400,2011
district,234,Rural,Male,never married,715453,2011
district,234,Urban,Male,never married,129410,2011
district,235,Rural,Male,never married,647519,2011
district,235,Urban,Male,never married,70839,2011
district,236,Rural,Male,never married,1058297,2011
district,236,Urban,Male,never married,171094,2011
district,237,Rural,Male,never married,552850,2011
district,237,Urban,Male,never married,64282,2011
district,238,Rural,Male,never married,448641,2011
district,238,Urban,Male,never married,42072,2011
district,239,Rural,Male,never married,272787,2011
district,239,Urban,Male,never married,39865,2011
district,240,Rural,Male,never married,181142,2011
district,240,Urban,Male,never married,15184,2011
district,241,Rural,Male,never married,11267,2011
district,241,Urban,Male,never married,1417,2011
district,242,Rural,Male,never married,36886,2011
district,242,Urban,Male,never married,1434,2011
district,243,Rural,Male,never married,35522,2011
district,243,Urban,Male,never married,5677,2011
district,244,Rural,Male,never married,43802,2011
district,244,Urban,Male,never married,32016,2011
district,245,Rural,Male,never married,12128,2011
district,245,Urban,Male,never married,2573,2011
district,246,Rural,Male,never married,19222,2011
