geo_level,geo_code,area,sex,total,geo_version
district,275,Rural,Male,75171,2011
district,275,Urban,Male,43611,2011
district,276,Rural,Male,135470,2011
district,276,Urban,Male,75375,2011
district,277,Rural,Male,96948,2011
district,277,Urban,Male,158106,2011
district,278,Rural,Male,136789,2011
district,278,Urban,Male,89305,2011
district,279,Rural,Male,80801,2011
district,279,Urban,Male,13917,2011
district,280,Rural,Male,65909,2011
district,280,Urban,Male,8670,2011
state,15,Rural,Male,269135,2011
state,15,Urban,Male,286204,2011
district,281,Rural,Male,37135,2011
district,281,Urban,Male,7693,2011
district,282,Rural,Male,19097,2011
district,282,Urban,Male,23821,2011
district,283,Rural,Male,43780,2011
district,283,Urban,Male,155490,2011
district,284,Rural,Male,39110,2011
district,284,Urban,Male,24278,2011
district,285,Rural,Male,16643,2011
district,285,Urban,Male,16208,2011
district,286,Rural,Male,47577,2011
district,286,Urban,Male,35314,2011
district,287,Rural,Male,49940,2011
district,287,Urban,Male,10659,2011
district,288,Rural,Male,15853,2011
district,288,Urban,Male,12741,2011
state,16,Rural,Male,1387173,2011
state,16,Urban,Male,487203,2011
district,289,Rural,Male,536720,2011
district,289,Urban,Male,342708,2011
district,290,Rural,Male,384787,2011
district,290,Urban,Male,62757,2011
district,291,Rural,Male,173773,2011
district,291,Urban,Male,20771,2011
district,292,Rural,Male,291893,2011
district,292,Urban,Male,60967,2011
state,17,Rural,Male,1194260,2011
state,17,Urban,Male,297572,2011
district,293,Rural,Male,286923,2011
district,293,Urban,Male,37236,2011
district,294,Rural,Male,138763,2011
district,294,Urban,Male,22460,2011
district,295,Rural,Male,66470,2011
district,295,Urban,Male,6700,2011
district,296,Rural,Male,172380,2011
district,296,Urban,Male,21335,2011
district,297,Rural,Male,118705,2011
district,297,Urban,Male,13826,2011
district,298,Rural,Male,228409,2011
district,298,Urban,Male,182340,2011
district,299,Rural,Male,182610,2011
district,299,Urban,Male,13675,2011
state,18,Rural,Male,13678989,2011
state,18,Urban,Male,2260454,2011
district,300,Rural,Male,424446,2011
district,300,Urban,Male,28459,2011
district,301,Rural,Male,893914,2011
district,301,Urban,Male,103934,2011
district,302,Rural,Male,443244,2011
district,302,Urban,Male,70048,2011
district,303,Rural,Male,791789,2011
district,303,Urban,Male,75215,2011
district,304,Rural,Male,449123,2011
district,304,Urban,Male,37528,2011
