geo_level,geo_code,area,sex,education,total,geo_version
district,140,Urban,Male,Literate Without Level,78539,2011
district,141,Rural,Male,Literate Without Level,16994,2011
district,141,Urban,Male,Literate Without Level,23898,2011
district,142,Rural,Male,Literate Without Level,27122,2011
district,142,Urban,Male,Literate Without Level,11218,2011
district,143,Rural,Male,Literate Without Level,30762,2011
district,143,Urban,Male,Literate Without Level,20072,2011
state,18,Urban,Male,Middle,363007,2011
district,144,Rural,Male,Literate Without Level,10697,2011
district,144,Urban,Male,Literate Without Level,4188,2011
district,145,Rural,Male,Literate Without Level,38984,2011
district,145,Urban,Male,Literate Without Level,21182,2011
district,146,Rural,Male,Literate Without Level,35332,2011
district,146,Urban,Male,Literate Without Level,61783,2011
district,147,Rural,Male,Literate Without Level,21722,2011
district,147,Urban,Male,Literate Without Level,18521,2011
district,148,Rural,Male,Literate Without Level,20337,2011
district,148,Urban,Male,Literate Without Level,6500,2011
district,149,Rural,Male,Literate Without Level,47785,2011
district,149,Urban,Male,Literate Without Level,9281,2011
district,150,Rural,Male,Literate Without Level,56409,2011
district,150,Urban,Male,Literate Without Level,45800,2011
district,151,Rural,Male,Literate Without Level,18149,2011
district,151,Urban,Male,Literate Without Level,4107,2011
district,152,Rural,Male,Literate Without Level,32361,2011
district,152,Urban,Male,Literate Without Level,8319,2011
district,153,Rural,Male,Literate Without Level,78577,2011
district,153,Urban,Male,Literate Without Level,11407,2011
district,154,Rural,Male,Literate Without Level,54370,2011
district,154,Urban,Male,Literate Without Level,8044,2011
district,155,Rural,Male,Literate Without Level,49940,2011
district,155,Urban,Male,Literate Without Level,9348,2011
district,156,Rural,Male,Literate Without Level,49511,2011
district,156,Urban,Male,Literate Without Level,10983,2011
district,157,Rural,Male,Literate Without Level,18313,2011
district,157,Urban,Male,Literate Without Level,43564,2011
district,158,Rural,Male,Literate Without Level,37322,2011
district,158,Urban,Male,Literate Without Level,4129,2011
district,159,Rural,Male,Literate Without Level,26439,2011
district,159,Urban,Male,Literate Without Level,7263,2011
district,160,Rural,Male,Literate Without Level,11756,2011
district,160,Urban,Male,Literate Without Level,3668,2011
district,161,Rural,Male,Literate Without Level,18485,2011
district,161,Urban,Male,Literate Without Level,4009,2011
district,162,Rural,Male,Literate Without Level,9890,2011
district,162,Urban,Male,Literate Without Level,2213,2011
district,163,Rural,Male,Literate Without Level,19681,2011
district,163,Urban,Male,Literate Without Level,3035,2011
district,164,Rural,Male,Literate Without Level,9939,2011
district,164,Urban,Male,Literate Without Level,45897,2011
district,165,Rural,Male,Literate Without Level,14411,2011
district,165,Urban,Male,Literate Without Level,5375,2011
district,166,Rural,Male,Literate Without Level,16294,2011
district,166,Urban,Male,Literate Without Level,13586,2011
district,167,Rural,Male,Literate Without Level,11037,2011
district,167,Urban,Male,Literate Without Level,1970,2011
district,168,Rural,Male,Literate Without Level,12114,2011
district,168,Urban,Male,Literate Without Level,2874,2011
district,169,Rural,Male,Literate Without Level,12011,2011
district,169,Urban,Male,Literate Without Level,3560,2011
district,170,Rural,Male,Literate Without Level,15682,2011
district,170,Urban,Male,Literate Without Level,2355,2011
district,171,Rural,Male,Literate Without Level,9448,2011
district,171,Urban,Male,Literate Without Level,1361,2011
district,172,Rural,Male,Literate Without Level,26434,2011
district,172,Urban,Male,Literate Without Level,5737,2011
district,173,Rural,Male,Literate Without Level,41725,2011
district,173,Urban,Male,Literate Without Level,3645,2011
district,174,Rural,Male,Literate Without Level,26126,2011
district,174,Urban,Male,Literate Without Level,2559,2011
district,175,Rural,Male,Literate Without Level,101123,2011
district,175,Urban,Male,Literate Without Level,45443,2011
district,176,Rural,Male,Literate Without Level,53531,2011
district,176,Urban,Male,Literate Without Level,7581,2011
district,177,Rural,Male,Literate Without Level,32909,2011
district,177,Urban,Male,Literate Without Level,8007,2011
district,178,Rural,Male,Literate Without Level,26043,2011
district,178,Urban,Male,Literate Without Level,4540,2011
district,179,Rural,Male,Literate Without Level,42134,2011
district,179,Urban,Male,Literate Without Level,2652,2011
district,180,Rural,Male,Literate Without Level,46560,2011
district,180,Urban,Male,Literate Without Level,6045,2011
district,181,Rural,Male,Literate Without Level,19352,2011
district,181,Urban,Male,Literate Without Level,752,2011
district,182,Rural,Male,Literate Without Level,23261,2011
district,182,Urban,Male,Literate Without Level,2844,2011
district,183,Rural,Male,Literate Without Level,42389,2011
district,183,Urban,Male,Literate Without Level,3994,2011
district,184,Rural,Male,Literate Without Level,32701,2011
district,184,Urban,Male,Literate Without Level,2497,2011
district,185,Rural,Male,Literate Without Level,34230,2011
district,185,Urban,Male,Literate Without Level,2283,2011
district,186,Rural,Male,Literate Without Level,15649,2011
district,186,Urban,Male,Literate Without Level,1988,2011
district,187,Rural,Male,Literate Without Level,48819,2011
district,187,Urban,Male,Literate Without Level,1618,2011
state,19,Rural,Male,Middle,4449851,2011
district,188,Rural,Male,Literate Without Level,65769,2011
district,188,Urban,Male,Literate Without Level,18323,2011
district,189,Rural,Male,Literate Without Level,79579,2011
district,189,Urban,Male,Literate Without Level,5257,2011
district,190,Rural,Male,Literate Without Level,31827,2011
district,190,Urban,Male,Literate Without Level,4977,2011
district,191,Rural,Male,Literate Without Level,58075,2011
district,191,Urban,Male,Literate Without Level,8697,2011
district,192,Rural,Male,Literate Without Level,35460,2011
district,192,Urban,Male,Literate Without Level,12677,2011
district,193,Rural,Male,Literate Without Level,70719,2011
district,193,Urban,Male,Literate Without Level,9558,2011
district,194,Rural,Male,Literate Without Level,46124,2011
district,194,Urban,Male,Literate Without Level,3452,2011
district,195,Rural,Male,Literate Without Level,62069,2011
district,195,Urban,Male,Literate Without Level,5355,2011
district,196,Rural,Male,Literate Without Level,22320,2011
district,196,Urban,Male,Literate Without Level,2692,2011
district,197,Rural,Male,Literate Without Level,24489,2011
district,197,Urban,Male,Literate Without Level,32119,2011
district,198,Rural,Male,Literate Without Level,17453,2011
district,198,Urban,Male,Literate Without Level,4102,2011
district,199,Rural,Male,Literate Without Level,27952,2011
district,199,Urban,Male,Literate Without Level,7249,2011
district,200,Rural,Male,Literate Without Level,19873,2011
district,200,Urban,Male,Literate Without Level,5080,2011
district,201,Rural,Male,Literate Without Level,16708,2011
district,201,Urban,Male,Literate Without Level,3313,2011
district,202,Rural,Male,Literate Without Level,13283,2011
district,202,Urban,Male,Literate Without Level,5224,2011
district,203,Rural,Male,Literate Without Level,56482,2011
district,203,Urban,Male,Literate Without Level,4900,2011
district,204,Rural,Male,Literate Without Level,70283,2011
district,204,Urban,Male,Literate Without Level,5223,2011
district,205,Rural,Male,Literate Without Level,18096,2011
district,205,Urban,Male,Literate Without Level,401,2011
district,206,Rural,Male,Literate Without Level,53223,2011
district,206,Urban,Male,Literate Without Level,2905,2011
district,207,Rural,Male,Literate Without Level,78735,2011
district,207,Urban,Male,Literate Without Level,3196,2011
district,208,Rural,Male,Literate Without Level,42733,2011
district,208,Urban,Male,Literate Without Level,1449,2011
district,209,Rural,Male,Literate Without Level,52763,2011
district,209,Urban,Male,Literate Without Level,4272,2011
district,210,Rural,Male,Literate Without Level,31463,2011
district,210,Urban,Male,Literate Without Level,3091,2011
district,211,Rural,Male,Literate Without Level,63453,2011
district,211,Urban,Male,Literate Without Level,5856,2011
